source,jurisdiction,level,section,book,parent_title,node_title,normalized_title,node_type,suggested_saudi_domain,suggested_saudi_nizam,suggested_saudi_nizam_chapter,suggested_saudi_article_ref,saudi_nizam_url,suggested_hakeem_issue_path,mapping_type,confidence,needs_human_review
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الآثار والأحكام المترتبة,اركان البيع الاثار والاحكام المترتبه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الآثار والأحكام المترتبة,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الضمان والمسؤولية,اركان البيع الضمان والمسووليه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الضمان والمسؤولية,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الخيار والفسخ والانفساخ,اركان البيع الخيار والفسخ والانفساخ,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الخيار والفسخ والانفساخ,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: النزاع وطرق الإثبات,اركان البيع النزاع وطرق الاثبات,evidence_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: النزاع وطرق الإثبات,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: التكييف النظامي السعودي,اركان البيع التكييف النظامي السعودي,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: التكييف النظامي السعودي,fiqh_seed,0.55,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: التطبيقات والنوازل المعاصرة,اركان البيع التطبيقات والنوازل المعاصره,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: التطبيقات والنوازل المعاصرة,fiqh_seed,0.55,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الخلاف الفقهي بين المذاهب الأربعة,اركان البيع الخلاف الفقهي بين المذاهب الاربعه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الخلاف الفقهي بين المذاهب الأربعة,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,3,المعاملات المالية,البيع,البيع,شروط البيع,شروط البيع,fiqh_chapter,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع,fiqh_seed,0.75,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: التعريف والمفهوم,شروط البيع التعريف والمفهوم,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: التعريف والمفهوم,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الحكم والمشروعية,شروط البيع الحكم والمشروعيه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الحكم والمشروعية,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الأركان,شروط البيع الاركان,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الأركان,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الأنواع والأقسام,شروط البيع الانواع والاقسام,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الأنواع والأقسام,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الصور والتطبيقات,شروط البيع الصور والتطبيقات,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الصور والتطبيقات,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الموانع وما يبطله ويفسده,شروط البيع الموانع وما يبطله ويفسده,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الموانع وما يبطله ويفسده,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الآثار والأحكام المترتبة,شروط البيع الاثار والاحكام المترتبه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الآثار والأحكام المترتبة,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الضمان والمسؤولية,شروط البيع الضمان والمسووليه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الضمان والمسؤولية,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الخيار والفسخ والانفساخ,شروط البيع الخيار والفسخ والانفساخ,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الخيار والفسخ والانفساخ,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: النزاع وطرق الإثبات,شروط البيع النزاع وطرق الاثبات,evidence_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: النزاع وطرق الإثبات,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: التكييف النظامي السعودي,شروط البيع التكييف النظامي السعودي,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: التكييف النظامي السعودي,fiqh_seed,0.55,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: التطبيقات والنوازل المعاصرة,شروط البيع التطبيقات والنوازل المعاصره,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: التطبيقات والنوازل المعاصرة,fiqh_seed,0.55,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,شروط البيع,شروط البيع: الخلاف الفقهي بين المذاهب الأربعة,شروط البيع الخلاف الفقهي بين المذاهب الاربعه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > شروط البيع > شروط البيع: الخلاف الفقهي بين المذاهب الأربعة,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,3,المعاملات المالية,البيع,البيع,تقسيم البيع وأنواعه,تقسيم البيع وانواعه,fiqh_chapter,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه,fiqh_seed,0.75,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: التعريف والمفهوم,تقسيم البيع وانواعه التعريف والمفهوم,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: التعريف والمفهوم,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الحكم والمشروعية,تقسيم البيع وانواعه الحكم والمشروعيه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الحكم والمشروعية,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الأركان,تقسيم البيع وانواعه الاركان,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الأركان,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الشروط المعتبرة,تقسيم البيع وانواعه الشروط المعتبره,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الشروط المعتبرة,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الصور والتطبيقات,تقسيم البيع وانواعه الصور والتطبيقات,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الصور والتطبيقات,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الموانع وما يبطله ويفسده,تقسيم البيع وانواعه الموانع وما يبطله ويفسده,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الموانع وما يبطله ويفسده,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الآثار والأحكام المترتبة,تقسيم البيع وانواعه الاثار والاحكام المترتبه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الآثار والأحكام المترتبة,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الضمان والمسؤولية,تقسيم البيع وانواعه الضمان والمسووليه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الضمان والمسؤولية,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الخيار والفسخ والانفساخ,تقسيم البيع وانواعه الخيار والفسخ والانفساخ,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الخيار والفسخ والانفساخ,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: النزاع وطرق الإثبات,تقسيم البيع وانواعه النزاع وطرق الاثبات,evidence_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: النزاع وطرق الإثبات,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: التكييف النظامي السعودي,تقسيم البيع وانواعه التكييف النظامي السعودي,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: التكييف النظامي السعودي,fiqh_seed,0.55,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: التطبيقات والنوازل المعاصرة,تقسيم البيع وانواعه التطبيقات والنوازل المعاصره,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: التطبيقات والنوازل المعاصرة,fiqh_seed,0.55,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,تقسيم البيع وأنواعه,تقسيم البيع وأنواعه: الخلاف الفقهي بين المذاهب الأربعة,تقسيم البيع وانواعه الخلاف الفقهي بين المذاهب الاربعه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > تقسيم البيع وأنواعه > تقسيم البيع وأنواعه: الخلاف الفقهي بين المذاهب الأربعة,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,3,المعاملات المالية,البيع,البيع,البيع الفاسد والباطل,البيع الفاسد والباطل,fiqh_chapter,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > البيع الفاسد والباطل,fiqh_seed,0.75,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,البيع الفاسد والباطل,البيع الفاسد والباطل: التعريف والمفهوم,البيع الفاسد والباطل التعريف والمفهوم,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > البيع الفاسد والباطل > البيع الفاسد والباطل: التعريف والمفهوم,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,البيع الفاسد والباطل,البيع الفاسد والباطل: الحكم والمشروعية,البيع الفاسد والباطل الحكم والمشروعيه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > البيع الفاسد والباطل > البيع الفاسد والباطل: الحكم والمشروعية,fiqh_seed,0.8,True
